,AC,AF,AR,AS,AST,AY,AwayTeam,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Referee,WHA,WHD,WHH,HomeLastWin,VisitorLastWin,HmLasthlll,VisLasthlll,Hmdwl,Visdwl,HomeWinStreak,VisitorWinStreak,HomeUnbeatenStreak,VisitorUnbeatenStreak,HomeLosingStreak,VisitorLosingStreak,prev_HS,prev_AS,prev_HST,prev_AST,prev_HC,prev_AC,AtHomeWinStreak,HomeWinAgainstVisitor,HomeWinAgainstVisitorStreak,VisitorWinAgainstHomeStreak,VisitorWPLast5,HomeWPLast5,VisitorWPALast5,HomeWPHLast5,HomeWinAgainstVisitorL5,VisitorWinAgainstHomeL5
23,5.0,12.0,0.0,9.0,8.0,3.0,Coventry,26/08/00,E0,2.0,1.0,A,5.0,7.0,0.0,14.0,5.0,2.0,0.0,A,2.0,Man City,3.1,3.0,1.9,Andy D'Urso,3.0,3.2,2.1,1,1,0,0,0,0,1,1,1,1,0,0,15.0,7.0,10.0,5.0,7.0,5.0,1,0,0,0,0.5,0.5,1.0,1.0,0.0,0.0
24,8.0,20.0,0.0,16.0,11.0,0.0,Leeds,26/08/00,E0,2.0,1.0,A,4.0,12.0,0.0,15.0,8.0,2.0,0.0,A,2.0,Middlesbrough,2.4,3.0,2.3,Graham Barber,2.5,3.1,2.5,0,1,0,0,0,0,0,1,2,1,0,0,12.0,17.0,6.0,8.0,5.0,6.0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0
25,2.0,10.0,0.0,10.0,2.0,0.0,Tottenham,26/08/00,E0,0.0,2.0,H,4.0,13.0,0.0,15.0,6.0,0.0,1.0,H,0.0,Newcastle,2.9,3.0,2.0,David Ellaray,3.4,3.25,1.9,1,0,0,0,0,0,1,0,1,2,0,0,9.0,11.0,4.0,4.0,9.0,5.0,1,0,0,0,1.0,0.5,0.0,1.0,0.0,0.0
26,1.0,6.0,0.0,9.0,4.0,0.0,Liverpool,26/08/00,E0,3.0,3.0,D,7.0,7.0,0.0,14.0,7.0,1.0,0.0,A,0.0,Southampton,1.85,3.0,3.3,Jeff Winter,1.9,3.2,3.5,0,0,0,0,0,0,0,0,0,0,1,1,12.0,7.0,4.0,4.0,6.0,11.0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0
27,5.0,9.0,0.0,8.0,5.0,0.0,Man United,26/08/00,E0,2.0,2.0,D,7.0,12.0,0.0,17.0,8.0,1.0,0.0,A,1.0,West Ham,1.75,3.2,3.5,Dermot Gallagher,1.66,3.4,4.33,0,0,0,0,0,0,0,0,0,2,2,0,17.0,15.0,12.0,6.0,11.0,6.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
28,10.0,12.0,0.0,11.0,7.0,1.0,Chelsea,27/08/00,E0,1.0,1.0,D,7.0,13.0,0.0,12.0,9.0,1.0,1.0,D,0.0,Aston Villa,2.35,3.0,2.35,Paul Durkin,2.0,3.2,3.2,0,0,0,0,0,0,0,0,1,0,0,1,5.0,14.0,3.0,6.0,4.0,4.0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0
29,4.0,24.0,0.0,8.0,3.0,2.0,Man City,05/09/00,E0,2.0,1.0,A,9.0,18.0,0.0,6.0,1.0,2.0,0.0,A,2.0,Leeds,5.5,3.6,1.4,Graham Poll,7.0,3.75,1.4,1,0,0,0,0,0,2,0,2,0,0,1,16.0,14.0,11.0,5.0,8.0,5.0,1,0,0,0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0
30,1.0,10.0,0.0,6.0,4.0,1.0,Bradford,05/09/00,E0,0.0,6.0,H,5.0,12.0,0.0,21.0,12.0,0.0,2.0,H,0.0,Man United,9.0,4.7,1.2,Ian Harris,9.0,5.5,1.2,0,0,0,0,0,0,0,0,3,2,0,0,8.0,8.0,5.0,4.0,5.0,6.0,1,0,0,0,0.5,1.0,0.0,1.0,0.0,0.0
31,11.0,14.0,0.0,16.0,9.0,3.0,West Ham,05/09/00,E0,1.0,1.0,D,4.0,19.0,0.0,17.0,7.0,1.0,1.0,D,2.0,Sunderland,3.3,3.0,1.85,Peter Jones,3.0,3.2,2.1,0,0,0,0,0,0,0,0,0,1,2,0,9.0,17.0,3.0,8.0,6.0,7.0,1,0,0,0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0
32,5.0,10.0,0.0,11.0,6.0,2.0,Everton,05/09/00,E0,2.0,3.0,H,7.0,11.0,0.0,11.0,7.0,2.0,1.0,A,1.0,Tottenham,3.8,3.1,1.7,Barry Knight,4.33,3.4,1.66,0,0,0,0,0,0,0,0,0,2,1,0,10.0,12.0,2.0,9.0,2.0,11.0,1,0,0,0,0.5,0.5,0.0,1.0,0.0,0.0
33,14.0,16.0,0.0,11.0,3.0,3.0,Southampton,06/09/00,E0,1.0,1.0,D,10.0,14.0,1.0,8.0,6.0,0.0,0.0,D,3.0,Charlton,3.0,2.9,2.0,Mark Halsey,3.75,3.3,1.8,0,0,1,0,0,0,0,0,0,1,2,0,7.0,14.0,4.0,7.0,3.0,7.0,1,0,0,0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0
34,6.0,22.0,0.0,13.0,5.0,1.0,Arsenal,06/09/00,E0,2.0,2.0,D,7.0,16.0,0.0,12.0,5.0,0.0,1.0,H,3.0,Chelsea,2.7,2.9,2.2,Mike Riley,3.0,3.0,2.2,0,1,0,0,0,1,0,2,1,2,0,0,11.0,18.0,7.0,9.0,10.0,8.0,1,0,0,0,0.6666666666666666,0.5,0.0,1.0,0.0,0.0
35,8.0,18.0,0.0,13.0,6.0,1.0,Newcastle,06/09/00,E0,2.0,0.0,A,6.0,11.0,0.0,13.0,3.0,1.0,0.0,A,1.0,Coventry,2.35,3.0,2.35,Alan Wiley,2.4,3.25,2.5,1,1,0,0,0,0,2,2,2,2,0,0,9.0,15.0,8.0,6.0,5.0,4.0,0,0,0,0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
36,5.0,10.0,0.0,5.0,4.0,2.0,Middlesbrough,06/09/00,E0,3.0,3.0,D,11.0,8.0,0.0,9.0,5.0,1.0,0.0,A,3.0,Derby,2.5,2.9,2.3,Rob Styles,2.5,3.25,2.4,0,0,0,0,0,0,0,0,1,0,0,1,7.0,15.0,4.0,8.0,2.0,4.0,0,0,0,0,0.5,0.0,1.0,0.0,0.0,0.0
37,2.0,13.0,0.0,7.0,3.0,1.0,Ipswich,06/09/00,E0,1.0,2.0,H,6.0,12.0,0.0,12.0,6.0,0.0,0.0,D,1.0,Leicester,3.8,3.1,1.7,Paul Taylor,4.33,3.4,1.66,0,1,0,0,0,0,0,1,3,2,0,0,13.0,14.0,8.0,5.0,8.0,7.0,0,0,0,0,0.5,1.0,0.0,0.0,0.0,0.0
